ACCOUNT STATEMENT
Bank Name:,State Bank of India
Account Holder:,Rahul Mehta
PAN:,CDERÐœ9012C
Account Number:,XXXXX36789
IFSC Code:,SBIN000345
Branch:,Mumbai
Statement Period:,01-Apr-2025 to 31-Mar-2026

Date,Description,Debit (Rs.),Credit (Rs.),Balance (Rs.),Category,Tag
28-Mar-2026,SALARY CREDIT - HDFC BANK LIMITED - MAR 2026,,83333,291871,SALARY,
28-May-2025,SALARY CREDIT - HDFC BANK LIMITED - MAY 2025,,83333,375204,SALARY,
28-Nov-2025,SALARY CREDIT - HDFC BANK LIMITED - NOV 2025,,83333,458537,SALARY,
28-Oct-2025,SALARY CREDIT - HDFC BANK LIMITED - OCT 2025,,83333,541870,SALARY,
28-Sep-2025,SALARY CREDIT - HDFC BANK LIMITED - SEP 2025,,83333,625203,SALARY,
29-Apr-2025,GROCERY - BIGBASKET / DMART,4055,,621148,EXPENSE,
29-Sep-2025,GROCERY - BIGBASKET / DMART,3800,,617348,EXPENSE,
30-May-2025,AMAZON SHOPPING,1757,,615591,EXPENSE,
30-Nov-2025,MOBILE RECHARGE - AIRTEL,283,,615308,EXPENSE,
31-Jan-2026,OTT SUBSCRIPTION - NETFLIX/PRIME,200,,615108,EXPENSE,
31-Mar-2026,FUEL - HPCL PETROL PUMP,1405,,613703,EXPENSE,
31-May-2025,FUEL - HPCL PETROL PUMP,1386,,612317,EXPENSE,
