ACCOUNT STATEMENT
Bank Name:,State Bank of India
Account Holder:,Rohan Gupta
PAN:,GHIRG6789G
Account Number:,XXXXX76789
IFSC Code:,SBIN000745
Branch:,Mumbai
Statement Period:,01-Apr-2025 to 31-Mar-2026

Date,Description,Debit (Rs.),Credit (Rs.),Balance (Rs.),Category,Tag
05-Mar-2026,NEFT - RENT PAYMENT - MAR 2026,50000,,-542914,RENT,HRA_RENT
05-Sep-2025,NEFT - RENT PAYMENT - SEP 2025,50000,,-592914,RENT,HRA_RENT
06-Jan-2026,SIP DEBIT - AXIS ELSS FUND - JAN-2026,3333,,-596247,INVESTMENT,80C_ELSS
07-Dec-2025,AMAZON SHOPPING,3814,,-600061,EXPENSE,
07-Jun-2025,SIP DEBIT - AXIS ELSS FUND - JUN-2025,3333,,-603394,INVESTMENT,80C_ELSS
07-May-2025,SIP DEBIT - AXIS ELSS FUND - MAY-2025,3333,,-606727,INVESTMENT,80C_ELSS
07-Sep-2025,OTT SUBSCRIPTION - NETFLIX/PRIME,384,,-607111,EXPENSE,
08-Apr-2025,SIP DEBIT - AXIS ELSS FUND - APR-2025,3333,,-610444,INVESTMENT,80C_ELSS
08-Aug-2025,SIP DEBIT - AXIS ELSS FUND - AUG-2025,3333,,-613777,INVESTMENT,80C_ELSS
08-Feb-2026,ATM CASH WITHDRAWAL,7308,,-621085,EXPENSE,
08-Jun-2025,ATM CASH WITHDRAWAL,5961,,-627046,EXPENSE,
08-Mar-2026,SIP DEBIT - AXIS ELSS FUND - MAR-2026,3337,,-630383,INVESTMENT,80C_ELSS
08-May-2025,AMAZON SHOPPING,4656,,-635039,EXPENSE,
08-May-2025,MOBILE RECHARGE - AIRTEL,744,,-635783,EXPENSE,
08-Nov-2025,OTT SUBSCRIPTION - NETFLIX/PRIME,375,,-636158,EXPENSE,
08-Sep-2025,MOBILE RECHARGE - AIRTEL,826,,-636984,EXPENSE,
09-Apr-2025,HEALTH INSURANCE PREMIUM - STAR HEALTH - SELF/FAMILY,25000,,-661984,INSURANCE,80D_SELF
09-Apr-2025,ELECTRICITY BILL PAYMENT - MSEB,3061,,-665045,EXPENSE,
09-Nov-2025,SIP DEBIT - AXIS ELSS FUND - NOV-2025,3333,,-668378,INVESTMENT,80C_ELSS
10-Dec-2025,SIP DEBIT - AXIS ELSS FUND - DEC-2025,3333,,-671711,INVESTMENT,80C_ELSS
10-Jun-2025,UPI - ZOMATO / SWIGGY FOOD ORDER,2429,,-674140,EXPENSE,
12-Aug-2025,GROCERY - BIGBASKET / DMART,8090,,-682230,EXPENSE,
12-Jun-2025,FUEL - HPCL PETROL PUMP,2694,,-684924,EXPENSE,
12-May-2025,LIC PREMIUM PAYMENT - POLICY AUTO DEBIT,60000,,-744924,INVESTMENT,80C_LIC
12-Sep-2025,ELECTRICITY BILL PAYMENT - MSEB,2877,,-747801,EXPENSE,
13-Feb-2026,MOBILE RECHARGE - AIRTEL,906,,-748707,EXPENSE,
15-Apr-2025,PPF DEPOSIT - SBI PPF ACCOUNT,50000,,-798707,INVESTMENT,80C_PPF
15-Aug-2025,AMAZON SHOPPING,5828,,-804535,EXPENSE,
15-Mar-2026,FUEL - HPCL PETROL PUMP,3201,,-807736,EXPENSE,
16-Jan-2026,ATM CASH WITHDRAWAL,7602,,-815338,EXPENSE,
16-Jul-2025,FUEL - HPCL PETROL PUMP,3506,,-818844,EXPENSE,
18-Apr-2025,GROCERY - BIGBASKET / DMART,9059,,-827903,EXPENSE,
19-Mar-2026,MOBILE RECHARGE - AIRTEL,905,,-828808,EXPENSE,
19-Oct-2025,GROCERY - BIGBASKET / DMART,7393,,-836201,EXPENSE,
20-Jul-2025,ATM CASH WITHDRAWAL,4896,,-841097,EXPENSE,
20-Jul-2025,OTT SUBSCRIPTION - NETFLIX/PRIME,389,,-841486,EXPENSE,
20-Nov-2025,ATM CASH WITHDRAWAL,6819,,-848305,EXPENSE,
21-Jul-2025,AMAZON SHOPPING,3050,,-851355,EXPENSE,
21-Mar-2026,ATM CASH WITHDRAWAL,5754,,-857109,EXPENSE,
22-Aug-2025,ELECTRICITY BILL PAYMENT - MSEB,3960,,-861069,EXPENSE,
22-Nov-2025,AMAZON SHOPPING,5087,,-866156,EXPENSE,
23-Apr-2025,MOBILE RECHARGE - AIRTEL,766,,-866922,EXPENSE,
23-Sep-2025,ATM CASH WITHDRAWAL,6561,,-873483,EXPENSE,
24-Dec-2025,FUEL - HPCL PETROL PUMP,3290,,-876773,EXPENSE,
24-Dec-2025,ATM CASH WITHDRAWAL,5396,,-882169,EXPENSE,
24-Feb-2026,GROCERY - BIGBASKET / DMART,9833,,-892002,EXPENSE,
24-Mar-2026,GROCERY - BIGBASKET / DMART,7785,,-899787,EXPENSE,
24-Oct-2025,MOBILE RECHARGE - AIRTEL,1004,,-900791,EXPENSE,
25-Nov-2025,UPI - ZOMATO / SWIGGY FOOD ORDER,2605,,-903396,EXPENSE,
25-Oct-2025,ATM CASH WITHDRAWAL,7771,,-911167,EXPENSE,
27-Jan-2026,FUEL - HPCL PETROL PUMP,3986,,-915153,EXPENSE,
28-Apr-2025,SALARY CREDIT - RELIANCE INDUSTRIES LIMITED - APR 2025,,208333,-706820,SALARY,
28-Apr-2025,UPI - ZOMATO / SWIGGY FOOD ORDER,3857,,-710677,EXPENSE,
28-Aug-2025,SALARY CREDIT - RELIANCE INDUSTRIES LIMITED - AUG 2025,,208333,-502344,SALARY,
28-Dec-2025,SALARY CREDIT - RELIANCE INDUSTRIES LIMITED - DEC 2025,,208333,-294011,SALARY,
28-Feb-2026,SALARY CREDIT - RELIANCE INDUSTRIES LIMITED - FEB 2026,,208333,-85678,SALARY,
28-Jan-2026,SALARY CREDIT - RELIANCE INDUSTRIES LIMITED - JAN 2026,,208333,122655,SALARY,
28-Jul-2025,SALARY CREDIT - RELIANCE INDUSTRIES LIMITED - JUL 2025,,208333,330988,SALARY,
28-Jun-2025,SALARY CREDIT - RELIANCE INDUSTRIES LIMITED - JUN 2025,,208333,539321,SALARY,
28-Mar-2026,SALARY CREDIT - RELIANCE INDUSTRIES LIMITED - MAR 2026,,208333,747654,SALARY,
28-May-2025,SALARY CREDIT - RELIANCE INDUSTRIES LIMITED - MAY 2025,,208333,955987,SALARY,
28-Nov-2025,SALARY CREDIT - RELIANCE INDUSTRIES LIMITED - NOV 2025,,208333,1164320,SALARY,
28-Oct-2025,SALARY CREDIT - RELIANCE INDUSTRIES LIMITED - OCT 2025,,208333,1372653,SALARY,
28-Sep-2025,SALARY CREDIT - RELIANCE INDUSTRIES LIMITED - SEP 2025,,208333,1580986,SALARY,
28-Sep-2025,FUEL - HPCL PETROL PUMP,4165,,1576821,EXPENSE,
30-Dec-2025,GROCERY - BIGBASKET / DMART,6797,,1570024,EXPENSE,
30-Jan-2026,OTT SUBSCRIPTION - NETFLIX/PRIME,242,,1569782,EXPENSE,
30-May-2025,ATM CASH WITHDRAWAL,6796,,1562986,EXPENSE,
