ACCOUNT STATEMENT
Bank Name:,State Bank of India
Account Holder:,Arjun Kapoor
PAN:,IJLAK8901I
Account Number:,XXXXX96789
IFSC Code:,SBIN000945
Branch:,Mumbai
Statement Period:,01-Apr-2025 to 31-Mar-2026

Date,Description,Debit (Rs.),Credit (Rs.),Balance (Rs.),Category,Tag
28-Jan-2026,SALARY CREDIT - JP MORGAN CHASE - JAN 2026,,416666,634002,SALARY,
28-Jul-2025,SALARY CREDIT - JP MORGAN CHASE - JUL 2025,,416666,1050668,SALARY,
28-Jun-2025,SALARY CREDIT - JP MORGAN CHASE - JUN 2025,,416666,1467334,SALARY,
28-Jun-2025,GROCERY - BIGBASKET / DMART,12550,,1454784,EXPENSE,
28-Mar-2026,SALARY CREDIT - JP MORGAN CHASE - MAR 2026,,416666,1871450,SALARY,
28-May-2025,SALARY CREDIT - JP MORGAN CHASE - MAY 2025,,416666,2288116,SALARY,
28-May-2025,FUEL - HPCL PETROL PUMP,7530,,2280586,EXPENSE,
28-Nov-2025,SALARY CREDIT - JP MORGAN CHASE - NOV 2025,,416666,2697252,SALARY,
28-Nov-2025,MOBILE RECHARGE - AIRTEL,2017,,2695235,EXPENSE,
28-Oct-2025,SALARY CREDIT - JP MORGAN CHASE - OCT 2025,,416666,3111901,SALARY,
28-Sep-2025,SALARY CREDIT - JP MORGAN CHASE - SEP 2025,,416666,3528567,SALARY,
30-May-2025,UPI - ZOMATO / SWIGGY FOOD ORDER,4276,,3524291,EXPENSE,
31-Dec-2025,MOBILE RECHARGE - AIRTEL,1393,,3522898,EXPENSE,
31-Jul-2025,ATM CASH WITHDRAWAL,11036,,3511862,EXPENSE,
