ACCOUNT STATEMENT
Bank Name:,State Bank of India
Account Holder:,Deepa Krishnan
PAN:,JKMDK2345J
Account Number:,XXXXX106789
IFSC Code:,SBIN0001045
Branch:,Kolkata
Statement Period:,01-Apr-2025 to 31-Mar-2026

Date,Description,Debit (Rs.),Credit (Rs.),Balance (Rs.),Category,Tag
28-Aug-2025,SALARY CREDIT - ITC LIMITED - AUG 2025,,58333,-166400,SALARY,
28-Dec-2025,SALARY CREDIT - ITC LIMITED - DEC 2025,,58333,-108067,SALARY,
28-Feb-2026,SALARY CREDIT - ITC LIMITED - FEB 2026,,58333,-49734,SALARY,
28-Jan-2026,SALARY CREDIT - ITC LIMITED - JAN 2026,,58333,8599,SALARY,
28-Jul-2025,SALARY CREDIT - ITC LIMITED - JUL 2025,,58333,66932,SALARY,
28-Jun-2025,SALARY CREDIT - ITC LIMITED - JUN 2025,,58333,125265,SALARY,
28-Jun-2025,GROCERY - BIGBASKET / DMART,2043,,123222,EXPENSE,
28-Mar-2026,SALARY CREDIT - ITC LIMITED - MAR 2026,,58333,181555,SALARY,
28-May-2025,SALARY CREDIT - ITC LIMITED - MAY 2025,,58333,239888,SALARY,
28-Nov-2025,SALARY CREDIT - ITC LIMITED - NOV 2025,,58333,298221,SALARY,
28-Oct-2025,SALARY CREDIT - ITC LIMITED - OCT 2025,,58333,356554,SALARY,
28-Sep-2025,SALARY CREDIT - ITC LIMITED - SEP 2025,,58333,414887,SALARY,
29-Apr-2025,ELECTRICITY BILL PAYMENT - MSEB,643,,414244,EXPENSE,
29-Sep-2025,FUEL - HPCL PETROL PUMP,1070,,413174,EXPENSE,
30-Jun-2025,OTT SUBSCRIPTION - NETFLIX/PRIME,200,,412974,EXPENSE,
30-May-2025,AMAZON SHOPPING,1007,,411967,EXPENSE,
31-Jul-2025,OTT SUBSCRIPTION - NETFLIX/PRIME,200,,411767,EXPENSE,
