ACCOUNT STATEMENT
Bank Name:,State Bank of India
Account Holder:,Priya Nair
PAN:,BCDPN5678B
Account Number:,XXXXX26789
IFSC Code:,SBIN000245
Branch:,Bangalore
Statement Period:,01-Apr-2025 to 31-Mar-2026

Date,Description,Debit (Rs.),Credit (Rs.),Balance (Rs.),Category,Tag
16-Sep-2025,MOBILE RECHARGE - AIRTEL,293,,11553,EXPENSE,
17-Aug-2025,ATM CASH WITHDRAWAL,1884,,9669,EXPENSE,
17-Jul-2025,MOBILE RECHARGE - AIRTEL,274,,9395,EXPENSE,
17-Mar-2026,FUEL - HPCL PETROL PUMP,1122,,8273,EXPENSE,
18-Dec-2025,GROCERY - BIGBASKET / DMART,3048,,5225,EXPENSE,
18-Feb-2026,ATM CASH WITHDRAWAL,2826,,2399,EXPENSE,
18-Jul-2025,AMAZON SHOPPING,738,,1661,EXPENSE,
24-Feb-2026,OTT SUBSCRIPTION - NETFLIX/PRIME,200,,1461,EXPENSE,
24-Mar-2026,GROCERY - BIGBASKET / DMART,2893,,-1432,EXPENSE,
25-Jun-2025,UPI - ZOMATO / SWIGGY FOOD ORDER,1366,,-2798,EXPENSE,
25-May-2025,OTT SUBSCRIPTION - NETFLIX/PRIME,200,,-2998,EXPENSE,
25-Oct-2025,PPF DEPOSIT - SBI PPF ACCOUNT,25000,,-27998,INVESTMENT,80C_PPF
27-Apr-2025,ATM CASH WITHDRAWAL,1930,,-29928,EXPENSE,
28-Apr-2025,SALARY CREDIT - WIPRO TECHNOLOGIES - APR 2025,,70833,40905,SALARY,
28-Aug-2025,SALARY CREDIT - WIPRO TECHNOLOGIES - AUG 2025,,70833,111738,SALARY,
28-Aug-2025,FUEL - HPCL PETROL PUMP,1349,,110389,EXPENSE,
28-Dec-2025,SALARY CREDIT - WIPRO TECHNOLOGIES - DEC 2025,,70833,181222,SALARY,
28-Dec-2025,MOBILE RECHARGE - AIRTEL,326,,180896,EXPENSE,
28-Feb-2026,SALARY CREDIT - WIPRO TECHNOLOGIES - FEB 2026,,70833,251729,SALARY,
28-Jan-2026,SALARY CREDIT - WIPRO TECHNOLOGIES - JAN 2026,,70833,322562,SALARY,
28-Jan-2026,ELECTRICITY BILL PAYMENT - MSEB,1049,,321513,EXPENSE,
28-Jul-2025,SALARY CREDIT - WIPRO TECHNOLOGIES - JUL 2025,,70833,392346,SALARY,
28-Jun-2025,SALARY CREDIT - WIPRO TECHNOLOGIES - JUN 2025,,70833,463179,SALARY,
28-Jun-2025,AMAZON SHOPPING,1083,,462096,EXPENSE,
28-Mar-2026,SALARY CREDIT - WIPRO TECHNOLOGIES - MAR 2026,,70833,532929,SALARY,
28-May-2025,SALARY CREDIT - WIPRO TECHNOLOGIES - MAY 2025,,70833,603762,SALARY,
28-Nov-2025,SALARY CREDIT - WIPRO TECHNOLOGIES - NOV 2025,,70833,674595,SALARY,
28-Oct-2025,SALARY CREDIT - WIPRO TECHNOLOGIES - OCT 2025,,70833,745428,SALARY,
28-Sep-2025,SALARY CREDIT - WIPRO TECHNOLOGIES - SEP 2025,,70833,816261,SALARY,
29-Sep-2025,FUEL - HPCL PETROL PUMP,1220,,815041,EXPENSE,
30-Apr-2025,OTT SUBSCRIPTION - NETFLIX/PRIME,200,,814841,EXPENSE,
